pdbId,AAA,AEE,DAL,DEI,DII,DN,EF,FI,FR,GM,HG,HP,II,LRE,LVL,MD,MF,MN,NE,NR,NV,NY,RM,YI,label,deg_0,clco_0,clce_0,dce_0,ebc_0,cfcc_0,sgc_0,deg_1,clco_1,clce_1,dce_1,ebc_1,cfcc_1,sgc_1,deg_2,clco_2,clce_2,dce_2,ebc_2,cfcc_2,sgc_2,deg_3,clco_3,clce_3,dce_3,ebc_3,cfcc_3,sgc_3,deg_4,clco_4,clce_4,dce_4,ebc_4,cfcc_4,sgc_4,deg_5,clco_5,clce_5,dce_5,ebc_5,cfcc_5,sgc_5,deg_6,clco_6,clce_6,dce_6,ebc_6,cfcc_6,sgc_6,deg_7,clco_7,clce_7,dce_7,ebc_7,cfcc_7,sgc_7,deg_8,clco_8,clce_8,dce_8,ebc_8,cfcc_8,sgc_8,deg_9,clco_9,clce_9,dce_9,ebc_9,cfcc_9,sgc_9
1WOG:F,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.006600660066006601,0.0165016501650165,0.0,0.0,0.0,0.0,0.0,0.0165016501650165,0.0,0.0627062706270627,1.0,1.0,1.0,0.9702970297029704,0.1254125412541254,0.0033003300330033004,0.9372937293729372,0.0,0.0,0.0,0.0297029702970297,0.1056105610561056,0.08250825082508251,0.0,0.0,0.0,0.0,0.0,0.2475247524752475,0.2673267326732673,0.0,0.0,0.0,0.0,0.0,0.2112211221122112,0.297029702970297,0.0,0.0,0.0,0.0,0.0,0.24422442244224424,0.19801980198019808,0.0,0.0,0.0,0.0,0.0,0.0231023102310231,0.052805280528052806,0.0,0.0,0.0,0.0,0.0,0.0198019801980198,0.0396039603960396,0.0,0.0,0.0,0.0,0.0,0.0,0.0429042904290429,0.0,0.0,0.0,0.0,0.0
1S38:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2032967032967033,1.0,1.0,1.0,0.9642857142857144,0.07692307692307693,0.0,0.7967032967032966,0.0,0.0,0.0,0.03571428571428571,0.10164835164835163,0.0521978021978022,0.0,0.0,0.0,0.0,0.0,0.3269230769230769,0.24175824175824176,0.0,0.0,0.0,0.0,0.0,0.23626373626373626,0.28846153846153844,0.0,0.0,0.0,0.0,0.0,0.20604395604395606,0.2582417582417583,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.06868131868131869,0.0,0.0,0.0,0.0,0.0,0.0,0.046703296703296704,0.0,0.0,0.0,0.0,0.0
3CYP:C,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037313432835820885,0.0,0.04477611940298507,1.0,0.9840546697038725,1.0,0.9477611940298508,0.1791044776119403,0.0,0.8880597014925373,0.0,0.015945330296127564,0.0,0.04477611940298507,0.11940298507462685,0.08955223880597014,0.06716417910447761,0.0,0.0,0.0,0.00746268656716418,0.2835820895522388,0.1865671641791045,0.0,0.0,0.0,0.0,0.0,0.1865671641791045,0.2462686567164179,0.0,0.0,0.0,0.0,0.0,0.1417910447761194,0.26119402985074625,0.0,0.0,0.0,0.0,0.0,0.037313432835820885,0.06716417910447761,0.0,0.0,0.0,0.0,0.0,0.01492537313432836,0.05970149253731344,0.0,0.0,0.0,0.0,0.0,0.0,0.08955223880597014,0.0,0.0,0.0,0.0,0.0
5K1P:A,0,1,0,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0.007407407407407408,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.5185185185185185,1.0,0.9918128654970759,1.0,1.0,0.16666666666666666,0.0,0.4814814814814815,0.0,0.008187134502923977,0.0,0.0,0.15555555555555556,0.05925925925925926,0.0,0.0,0.0,0.0,0.0,0.32592592592592595,0.1925925925925926,0.0,0.0,0.0,0.0,0.0,0.2,0.21851851851851853,0.0,0.0,0.0,0.0,0.0,0.11851851851851852,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.04814814814814815,0.0,0.0,0.0,0.0,0.0
3WZY:A,0,0,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027472527472527475,0.0,0.2582417582417583,1.0,0.9992695398100804,1.0,0.8653846153846154,0.08241758241758243,0.0027472527472527475,0.7417582417582418,0.0,0.0007304601899196494,0.0,0.12912087912087913,0.1153846153846154,0.038461538461538464,0.0,0.0,0.0,0.0,0.005494505494505495,0.29120879120879123,0.25,0.0,0.0,0.0,0.0,0.0,0.1813186813186813,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.23626373626373626,0.2032967032967033,0.0,0.0,0.0,0.0,0.0,0.054945054945054944,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.08791208791208792,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
5JD8:A,0,0,0,0,1,2,0,0,0,0,1,0,3,0,0,1,0,0,2,2,3,0,0,2,0,0.007352941176470587,0.007352941176470587,0.0,0.0,0.0,0.0,0.0,0.011029411764705885,0.0,0.34558823529411764,1.0,0.9884210526315792,1.0,0.9558823529411764,0.1213235294117647,0.0036764705882352936,0.6544117647058824,0.0,0.009473684210526316,0.0,0.04411764705882353,0.13602941176470587,0.0625,0.0,0.0,0.0010526315789473684,0.0,0.0,0.3161764705882353,0.30514705882352944,0.0,0.0,0.0010526315789473684,0.0,0.0,0.12867647058823528,0.2610294117647059,0.0,0.0,0.0,0.0,0.0,0.22426470588235287,0.1801470588235294,0.0,0.0,0.0,0.0,0.0,0.036764705882352935,0.07352941176470587,0.0,0.0,0.0,0.0,0.0,0.018382352941176468,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04411764705882353,0.0,0.0,0.0,0.0,0.0
3EPR:A,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,3,1,1,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11923076923076925,1.0,0.997828447339848,1.0,0.9884615384615384,0.1,0.003846153846153847,0.8807692307692307,0.0,0.002171552660152009,0.0,0.01153846153846154,0.12307692307692307,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.3307692307692308,0.25384615384615383,0.0,0.0,0.0,0.0,0.0,0.20384615384615384,0.2423076923076923,0.0,0.0,0.0,0.0,0.0,0.2,0.3153846153846154,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.06923076923076922,0.0,0.0,0.0,0.0,0.0,0.003846153846153847,0.0576923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.030769230769230767,0.0,0.0,0.0,0.0,0.0
4I6S:B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.022222222222222227,0.022222222222222227,0.0,0.0,0.0,0.0,0.0,0.011111111111111113,0.0,0.0,0.9444444444444444,0.972972972972973,1.0,1.0,0.2222222222222222,0.0,0.6888888888888889,0.05555555555555555,0.023166023166023158,0.0,0.0,0.26666666666666666,0.08888888888888889,0.3111111111111111,0.0,0.003861003861003861,0.0,0.0,0.3,0.32222222222222224,0.0,0.0,0.0,0.0,0.0,0.07777777777777778,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222227,0.0,0.0,0.0,0.0,0.0,0.011111111111111113,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.0
3LUM:C,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0.0075187969924812035,0.0075187969924812035,0.0,0.0,0.0,0.0,0.0,0.003759398496240601,0.0,0.07894736842105263,1.0,0.9988864142538976,1.0,1.0,0.11654135338345865,0.003759398496240601,0.9210526315789472,0.0,0.0011135857461024498,0.0,0.0,0.16165413533834586,0.05639097744360904,0.0,0.0,0.0,0.0,0.0,0.3383458646616541,0.29699248120300753,0.0,0.0,0.0,0.0,0.0,0.17669172932330826,0.2932330827067669,0.0,0.0,0.0,0.0,0.0,0.17293233082706766,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.022556390977443608,0.06015037593984963,0.0,0.0,0.0,0.0,0.0,0.0,0.04135338345864661,0.0,0.0,0.0,0.0,0.0,0.0,0.030075187969924814,0.0,0.0,0.0,0.0,0.0
3ZJQ:A,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.005263157894736842,1.0,0.9969278033794164,1.0,0.9789473684210528,0.09473684210526316,0.0,0.9947368421052633,0.0,0.0030721966205837174,0.0,0.021052631578947368,0.15789473684210525,0.036842105263157884,0.0,0.0,0.0,0.0,0.0,0.33157894736842103,0.1368421052631579,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.22631578947368425,0.0,0.0,0.0,0.0,0.0,0.16842105263157894,0.3473684210526316,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.08947368421052633,0.0,0.0,0.0,0.0,0.0,0.0,0.05789473684210526,0.0,0.0,0.0,0.0,0.0
