pdbId,deg_0,clco_0,clce_0,dce_0,ebc_0,cfcc_0,sgc_0,cpl_0,cs_0,dc2_0,deg_1,clco_1,clce_1,dce_1,ebc_1,cfcc_1,sgc_1,cpl_1,cs_1,dc2_1,deg_2,clco_2,clce_2,dce_2,ebc_2,cfcc_2,sgc_2,cpl_2,cs_2,dc2_2,deg_3,clco_3,clce_3,dce_3,ebc_3,cfcc_3,sgc_3,cpl_3,cs_3,dc2_3,deg_4,clco_4,clce_4,dce_4,ebc_4,cfcc_4,sgc_4,cpl_4,cs_4,dc2_4,deg_5,clco_5,clce_5,dce_5,ebc_5,cfcc_5,sgc_5,cpl_5,cs_5,dc2_5,deg_6,clco_6,clce_6,dce_6,ebc_6,cfcc_6,sgc_6,cpl_6,cs_6,dc2_6,deg_7,clco_7,clce_7,dce_7,ebc_7,cfcc_7,sgc_7,cpl_7,cs_7,dc2_7,deg_8,clco_8,clce_8,dce_8,ebc_8,cfcc_8,sgc_8,cpl_8,cs_8,dc2_8,deg_9,clco_9,clce_9,dce_9,ebc_9,cfcc_9,sgc_9,cpl_9,cs_9,dc2_9,label
4q8n:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.12430468905121651,0.019881722242062513,0.004991170827629004,0.004129618309339984,96.19806302855788,2.871651973902962,0.0,0.05782740259650707,3.8148006859233856,0.19999000049997503,0.16258737941348872,0.0,0.07767368639139707,0.0,304.6621758838929,0.0,0.0,0.11474836094260862,4.999987500031249,0.3047601120553632,0.0,0.0,0.0,0.0,0.0,0.0,1.1266910139232342,0.0,6.455994835204132,0.40783254497152593,0.0,0.0,0.0,0.0,0.0,0.0,1.4000121606029932,0.0,7.99998987343054,0.5022274796981562,0.0,0.0,0.0,0.0,0.0,0.0,1.7313930233297885,0.0,9.405051386010904,0.6264874928462758,0.0,0.0,0.0,0.0,0.0,0.0,2.1677305019832183,0.0,10.999900000909083,0.711106370401975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.999700007499813,0.80475903062251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9437441015993652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1htw:A,0.9999000099990001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12216677164968327,0.04321532377325721,0.008909998537733044,0.00937716605678826,77.74867099112451,2.474457381692204,0.0,0.077276314723788,3.63998544005824,0.0,0.19811723460281755,0.0,0.07504351437090169,0.0,383.21970180881317,0.0,0.0,0.1424404600654766,4.99997368434903,0.3220845790136302,0.2619255415348419,0.0,0.17344157937709673,0.0,0.0,0.0,1.1197452413044637,0.21337850688932292,6.470575547891082,0.40301595165924475,0.0,0.0,0.0,0.0,0.0,0.0,1.4079510423242505,0.0,7.999971428673469,0.498658565763398,0.0,0.0,0.0,0.0,0.0,0.0,1.7481247028167324,0.0,9.23996304014784,0.6354541051204758,0.0,0.0,0.0,0.0,0.0,0.0,2.051892752305747,0.0,10.999862501718729,0.7158670503142632,0.0,0.0,0.0,0.0,0.0,0.0,2.5745255727954883,0.0,11.998800119988001,0.8095122450631657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749878126523419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1htw:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135565027262386,0.04297344696109347,0.009089678387817586,0.009241290047610028,77.00759227762676,2.623814502748066,0.0,0.07731244191464633,3.4999875000446425,0.0,0.1952713596480297,0.0,0.07556480582391115,0.0,398.30487442859743,0.0,0.0,0.14765518318815485,4.999976190589568,0.32638480907877543,0.2606280312572678,0.0,0.16454909229639336,0.0,0.0,0.0,1.1402483119750377,0.21645136717518815,6.529398961962819,0.4063710920523465,0.0,0.0,0.0,0.0,0.0,0.0,1.4117128370252565,0.0,7.999960000199999,0.499447378145286,0.0,0.0,0.0,0.0,0.0,0.0,1.7428497024235106,0.0,9.333302222325926,0.6320279736295416,0.0,0.0,0.0,0.0,0.0,0.0,2.108144967512432,0.0,10.999816669722172,0.7142785714999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.999400029998501,0.8222130865212608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9833169447175881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1htw:C,0.9999000099990001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.12783693187773673,0.043376574981366385,0.009056543656405045,0.008995257658942086,84.15550721810759,2.5907350870055748,0.0,0.07554739866898744,3.66665308647005,0.0,0.19379597450822175,0.0,0.08866067898119437,0.0,393.9773056056838,10.034432483002924,0.0,0.14513296281821536,4.999976190589568,0.3194391204591034,0.2617699206374826,0.0,0.19027732958341642,0.0,0.0,0.0,1.113827942138298,0.21439605422653737,6.488874469167846,0.4114600409905425,0.0,0.0,0.0,0.0,0.0,0.0,1.3919888479303149,0.0,7.999966666805555,0.4906685686956637,0.0,0.0,0.0,0.0,0.0,0.0,1.7425841950998981,0.0,9.51609833516666,0.6320785371366819,0.0,0.0,0.0,0.0,0.0,0.0,2.0676883488590603,0.0,10.999816669722172,0.7112002982615506,0.0,0.0,0.0,0.0,0.0,0.0,2.6878429269300037,0.0,11.999400029998501,0.8185094239693633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749878126523419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4d6y:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.0,0.05895311932249092,0.009683464379422494,0.013361917523316802,87.41475828898503,2.17502610961174,0.0,0.09236698218741637,3.5999640003599964,0.0,0.21642511524431537,0.0,0.13346595427337984,0.0,0.0,0.0,0.0,0.1444045401725557,4.999964285969386,0.32888231124266404,0.27566263847085326,0.0,0.0,0.0,0.0,0.0,1.1295143483481662,0.2331140436933803,6.499982894781855,0.4032329231207856,0.0,0.0,0.0,0.0,0.0,0.0,1.3883257296487639,0.30575454851209094,7.999975000078124,0.5083670976098736,0.0,0.0,0.0,0.0,0.0,0.0,1.7832349817750313,0.0,9.359962560149759,0.633463848843806,0.0,0.0,0.0,0.0,0.0,0.0,2.195597748742295,0.0,10.998900109989002,0.7153359671665024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8083265972783561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9624879689003888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4d6y:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.0,0.05895311932249092,0.009648254897330111,0.013391406468798212,87.40767862903691,2.1522750898650647,0.0,0.09236698218741637,3.5999640003599964,0.0,0.21696616987677214,0.0,0.13789390324681822,0.0,0.0,0.0,0.0,0.14451622195149813,4.999966666888888,0.32776958353818936,0.27628879609310275,0.0,0.0,0.0,0.0,0.0,1.1299960865061474,0.23396898517391837,6.552614335225433,0.4057125114799123,0.0,0.0,0.0,0.0,0.0,0.0,1.3948419289114056,0.30575454851209094,7.999973333422222,0.5086899435021586,0.0,0.0,0.0,0.0,0.0,0.0,1.7811124135752228,0.0,9.34611789954654,0.6308104696050613,0.0,0.0,0.0,0.0,0.0,0.0,2.1942208528720832,0.0,10.998900109989002,0.7138463243407744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076860947223484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714146940757991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4u63:A,0.9999000099990001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11829731659197515,0.014097571886021088,0.00485002280973503,0.0025136315110815158,78.36255096763023,4.555444170072411,0.2544831408247987,0.03863018888229569,3.682533837247877,0.19999000049997503,0.14912303721787226,0.0,0.0815028687150141,0.0,292.74801924125944,11.383289986047375,0.0,0.0,4.999992537324571,0.3193640148183633,0.0,0.0,0.0,0.0,0.0,0.0,1.138131034890333,0.0,6.546579784733053,0.4093468529053541,0.0,0.0,0.0,0.0,0.0,0.0,1.4010377379998324,0.0,7.999992523371473,0.5026217672647365,0.0,0.0,0.0,0.0,0.0,0.0,1.7640209605053652,0.0,9.399987466683378,0.6291235786621342,0.0,0.0,0.0,0.0,0.0,0.0,2.140534927004281,0.0,10.999877779135788,0.715831543754474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093375465039424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9649951750241248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5kdp:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.11700067036653315,0.009338421149893876,0.0027474248771626824,0.0020196520537977274,100.83569809299976,3.7027772958774237,0.0,0.028271934370896805,3.8039141099723333,0.19443472270830903,0.14781848310451284,0.0,0.0,0.0,328.8608584012048,10.565604023035402,0.0,0.0,4.99999275363369,0.30675119024942343,0.0,0.0,0.0,0.0,0.0,0.0,1.121809357869751,0.0,6.53905994567971,0.40442211936360273,0.0,0.0,0.0,0.0,0.0,0.0,1.396956876360159,0.0,7.9999957894759,0.5021120396181311,0.0,0.0,0.0,0.0,0.0,0.0,1.749117125858836,0.0,9.352326760452456,0.6272961528537799,0.0,0.0,0.0,0.0,0.0,0.0,2.0644926809756146,0.0,10.99996562510742,0.7155539654356323,0.0,0.0,0.0,0.0,0.0,0.0,2.713722886894017,0.0,11.999880001199989,0.8129051289464027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304307372576638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5kdp:C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.1170635817390478,0.00926899072768871,0.002748517883810374,0.0020275446195863545,98.3530391399394,3.8089916335314196,0.0,0.028080336891312792,3.8039141099723333,0.19998000199980004,0.1477239606493069,0.0,0.0,0.0,324.6014146442903,10.461170169111247,0.0,0.0,4.9999930555652,0.30918745982592805,0.0,0.0,0.0,0.0,0.0,0.0,1.1292677678324954,0.0,6.530766718935878,0.4039807883041296,0.0,0.0,0.0,0.0,0.0,0.0,1.3981387236513627,0.0,7.99999591836943,0.5011563453205147,0.0,0.0,0.0,0.0,0.0,0.0,1.7511371592127396,0.0,9.356751699053136,0.6246433028179885,0.0,0.0,0.0,0.0,0.0,0.0,2.0817671727709874,0.0,10.999964516243496,0.71397055220782,0.0,0.0,0.0,0.0,0.0,0.0,2.7193412773416497,0.0,11.999880001199989,0.8111884482193558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9347785444411109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3epr:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12925972956420068,0.02735371683306708,0.0063009475535546235,0.005677116880199435,88.66169057795801,3.0151671112929717,0.0,0.06750857720583606,3.6153707101126535,0.19998000199980004,0.17791524313783513,0.0,0.0847367772821397,0.0,275.82072732863173,0.0,0.0,0.1191653782073119,4.999984375048827,0.3182494218336563,0.0,0.0,0.0,0.0,0.0,0.0,1.1451545616757912,0.0,6.4418529745895645,0.4013921068592195,0.0,0.0,0.0,0.0,0.0,0.0,1.410480586284097,0.0,7.999984905688857,0.49784157904621207,0.0,0.0,0.0,0.0,0.0,0.0,1.725712544069518,0.0,9.384597337312812,0.6280092999499439,0.0,0.0,0.0,0.0,0.0,0.0,2.1552697892437687,0.0,10.99989000109999,0.7121653556951136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.998800119988001,0.8111057037397531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9499881251484357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
